"Contact.ID","Contact.Source.ID","Full.Name..Company.or.Person."
7474,2,"The Rubicon Project, Inc."
7583,2,"Ion Geophysical Corporation"
7679,2,"RCI Hospitality Holdings, Inc. "
8123,2,"First Trust ISE Cloud Computing Index Fund"
8158,2,"Papa John'S International, Inc. "
8284,2,"OHA Investment Corporation "
8639,2,"Pulaski Financial Corp. "
8793,2,"First Bancorp "
8829,2,"China Mobile Limited"
8854,2,"Diversicare Healthcare Services Inc. "
8884,2,"Colfax Corporation"
8930,2,"Sotheby's"
8948,2,"Chunghwa Telecom Co., Ltd."
8979,2,"The Wet Seal, Inc. "
8993,2,"Riverview Bancorp Inc "
9126,2,"Dreyfus High Yield Strategies Fund"
9294,2,"Blue Hills Bancorp, Inc. "
9320,2,"PSB Holdings, Inc. "
9459,2,"LaSalle Hotel Properties"
9475,2,"P & F Industries, Inc. "
9480,2,"Noodles & Company "
9490,2,"Zhone Technologies, Inc. "
9526,2,"Integrys Energy Group, Inc."
9592,2,"United States Cellular Corporation"
9702,2,"Crown Holdings, Inc."
9765,2,"PrivateBancorp, Inc. "
9779,2,"LCNB Corporation "
9795,2,"Tiptree Financial Inc. "
9901,2,"PPlus Tr GSC"
9966,2,"ANSYS, Inc. "
9985,2,"National Beverage Corp. "
10017,2,"Brookfield Total Return Fund Inc. (The)"
10054,2,"Park"
10130,2,"Dex Media, Inc. "
10173,2,"Aviv REIT, Inc."
10229,2,"Cummins Inc."
10318,2,"Macatawa Bank Corporation "
10370,2,"Air T, Inc. "
10531,2,"Spectrum Brands Holdings, Inc."
10568,2,"La Jolla Pharmaceutical Company "
10578,2,"Thai Fund, Inc. (The)"
10579,2,"Quality Systems, Inc. "
10671,2,"Halozyme Therapeutics, Inc. "
10674,2,"Fiserv, Inc. "
10681,2,"500.com Limited American Depositary Shares"
10715,2,"J.G. Wentworth Company (The) Class A"
10996,2,"Camtek Ltd. "
11056,2,"Rentrak Corporation "
11293,2,"Atlantic American Corporation "
11332,2,"GP Strategies Corporation"
11498,2,"Bluelinx Holdings Inc."
11579,2,"GenVec, Inc. "
11610,2,"Lincoln National Corporation"
11780,2,"Diamondrock Hospitality Company"
11839,2,"Timken Company (The)"
11881,2,"Barrick Gold Corporation"
12096,2,"Occidental Petroleum Corporation"
12187,2,"Video Display Corporation "
12265,2,"Hexcel Corporation"
12397,2,"The Descartes Systems Group Inc. "
12431,2,"MOL Global, Inc. "
12479,2,"Farmer Brothers Company "
12558,2,"Virtus Investment Partners, Inc. "
12600,2,"Tempur Sealy International, Inc."
12686,2,"Radware Ltd. "
12718,2,"Agios Pharmaceuticals, Inc. "
12785,2,"Silicon Laboratories, Inc. "
12797,2,"Orion Marine Group Inc Common"
12852,2,"Fusion Telecommunications International, Inc. "
12915,2,"Akers Biosciences Inc "
12937,2,"Kellogg Company"
13025,2,"Weis Markets, Inc."
13116,2,"Assembly Biosciences, Inc. "
13185,2,"Microvision, Inc. "
13255,2,"FX Energy, Inc. "
13587,2,"NVR, Inc."
13592,2,"Westpac Banking Corporation"
